,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
3933,Bright Cosy Flat in Batalha | Ace Location,Host Wise,Apartment,Entire home/apt,Real Bed,2,120,strict_14_with_grace_period,5,2.0,4.0,4,1.0,39.0,39.0,6.0,4,Portugal,-8.60641,41.14529,307,100.0
3934,Lovely apartment with private parking,José,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,5,1.0,1.0,204,1.0,55.0,20.0,15.0,2,Portugal,-8.59095,41.14545,244,97.0
3935,Cosy 3 1/2 Apartment Downtown Montreal,Rim,Apartment,Entire home/apt,Real Bed,2,1125,flexible,3,1.0,1.0,1,1.0,81.0,60.0,30.0,3,Canada,-73.5792,45.49547,90,93.09924038225925
3936,Apartamento Superior com 3 quartos,João,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,10,3.0,6.0,0,3.0,150.0,0.0,15.0,4,Portugal,-8.61361,41.14124,312,93.09924038225925
3937,O MELHOR QUARTO E SALA DO LEBLON,Valter,Apartment,Entire home/apt,Real Bed,3,30,flexible,4,1.0,1.0,1,1.0,298.0,150.0,100.0,4,Brazil,-43.226299421988685,-22.98434608761522,360,100.0
3938,"Copa Ponto Nobre 200,00 CARNAVAl 450.00",Lucia,Apartment,Entire home/apt,Real Bed,5,30,flexible,4,1.0,1.0,0,1.0,298.0,200.0,0.0,1,Brazil,-43.18625226121471,-22.97051095277177,349,93.09924038225925
3939,25#1 Walk 3 minutes to Metro Monk. Big  room.,Lei,House,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,5,1.0,25.0,20.0,0.0,1,Canada,-73.59726,45.45225,265,88.0
3940,Spacious Bright and Airy Freshly Decorated Appt,Lee,Apartment,Entire home/apt,Real Bed,2,1125,moderate,3,1.0,2.0,3,1.0,1853.0,94.07480119284294,0.0,1,Hong Kong,114.15193,22.28226,82,100.0
3941,COPACABANA BEACH,Bruno,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1.0,2.0,0,1.0,298.0,100.0,0.0,1,Brazil,-43.18122480226719,-22.96933797591784,164,93.09924038225925
3942,Stylish 30th Floor apartment in happening location,Rory,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,0.0,1.0,8,1.0,1601.0,94.07480119284294,0.0,1,Hong Kong,114.17262,22.27529,64,97.0
