,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
0,Ocean View Waikiki Marina w/prkg,David,Condominium,Entire home/apt,Real Bed,3,365,strict_14_with_grace_period,2,1.0,1.0,96,1.0,115.0,100.0,0.0,1,United States,-157.83919,21.28634,343,84.0
1,Copacabana Apartment Posto 6,Ana Valéria,Apartment,Entire home/apt,Real Bed,3,75,strict_14_with_grace_period,4,1.0,3.0,70,2.0,119.0,150.0,40.0,3,Brazil,-43.19084919446341,-22.98433936006781,118,98.0
2,Private Room in Bushwick,Josh,Apartment,Private room,Real Bed,14,1125,flexible,1,1.0,1.0,1,1.5,40.0,94.07480119284294,0.0,1,United States,-73.93615,40.69791,0,100.0
3,Modern Spacious 1 Bedroom Loft,Konstantin,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,50.0,94.07480119284294,31.0,1,Canada,-73.59111,45.51889,0,93.09924038225925
4,Double Room en-suite (307),Ken,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,361.0,94.07480119284294,130.0,2,Hong Kong,114.17158,22.30469,365,93.09924038225925
5,"Soho Cozy, Spacious and Convenient",Giovanni,Apartment,Entire home/apt,Real Bed,4,20,flexible,3,1.0,2.0,3,1.0,699.0,94.07480119284294,0.0,1,Hong Kong,114.15027,22.28158,0,100.0
6,Apt Linda Vista Lagoa - Rio,Livia,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,2.0,701.0,250.0,0.0,1,Brazil,-43.20504708263344,-22.971950988341877,363,93.09924038225925
7,New York City - Upper West Side Apt,Greta,Apartment,Private room,Real Bed,12,360,strict_14_with_grace_period,2,1.0,1.0,70,1.0,135.0,135.0,0.0,1,United States,-73.96523,40.79962,93,94.0
8,Charming Flat in Downtown Moda,Zeynep,House,Entire home/apt,Real Bed,2,1125,flexible,6,2.0,6.0,1,1.0,527.0,211.0,211.0,1,Turkey,29.03133,40.98585,362,100.0
9,Catete's Colonial Big Hause Room B,Beatriz,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,8,1.0,8.0,1,4.0,250.0,0.0,40.0,4,Brazil,-43.18015675229857,-22.92638234778768,296,80.0
10,Nice room in Barcelona Center,Anna,Apartment,Private room,Real Bed,1,9,flexible,2,1.0,2.0,0,1.0,50.0,10.0,0.0,1,Spain,2.16942,41.40082,0,93.09924038225925
11,Ótimo Apto proximo Parque Olimpico,Jonathan,Apartment,Entire home/apt,Real Bed,15,20,strict_14_with_grace_period,5,2.0,2.0,0,2.0,858.0,112.0,75.0,1,Brazil,-43.4311123147628,-23.00035792660916,0,93.09924038225925
12,Deluxe Loft Suite,Mae,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,0.0,2.0,5,1.0,205.0,94.07480119284294,0.0,1,United States,-73.94472,40.72778,243,88.0
13,Ribeira Charming Duplex,Ana&Gonçalo,House,Entire home/apt,Real Bed,2,30,moderate,8,3.0,5.0,51,1.0,80.0,35.0,15.0,6,Portugal,-8.61308,41.1413,239,89.0
14,Horto flat with small garden,Ynaie,Apartment,Entire home/apt,Real Bed,2,1125,flexible,4,1.0,2.0,0,1.0,317.0,187.0,0.0,1,Brazil,-43.23074991429229,-22.96625355173965,0,93.09924038225925
15,Ligne verte - à 15 min de métro du centre ville.,Caro,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,0,1.0,43.0,94.07480119284294,12.0,1,Canada,-73.54949,45.54548,32,93.09924038225925
16,3 chambres au coeur du Plateau,Margaux,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,3.0,0,1.0,140.0,94.07480119284294,0.0,1,Canada,-73.57383,45.52233,0,93.09924038225925
17,Be Happy in Porto,Fábio,Loft,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,178,1.0,30.0,10.0,0.0,1,Portugal,-8.61123,41.15225,335,97.0
18,A Casa Alegre é um apartamento T1.,Manuela,Apartment,Entire home/apt,Real Bed,7,180,moderate,2,1.0,1.0,12,1.0,40.0,15.0,0.0,2,Portugal,-8.75383,41.3596,46,96.0
19,Sydney Hyde Park City Apartment (checkin from 6am),Desireé,Apartment,Entire home/apt,Real Bed,2,30,moderate,2,1.0,1.0,109,1.0,185.0,120.0,0.0,1,Australia,151.21346,-33.87603,265,100.0
20,Cozy house at Beyoğlu,Ali,Apartment,Private room,Pull-out Sofa,2,1125,flexible,2,1.0,1.0,27,1.0,58.0,0.0,60.0,1,Turkey,28.95825,41.03777,37,99.0
21,Room Close to LGA and 35 mins to Times Square,Cheer,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,123,1.0,46.0,15.0,10.0,1,United States,-73.88025,40.74953,365,99.0
22,Easy 1 Bedroom in Chelsea,Scott,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,1,1.0,145.0,60.0,0.0,1,United States,-74.00074,40.74577,0,100.0
23,2 bedroom Upper east side,Chelsea,Apartment,Entire home/apt,Real Bed,2,7,strict_14_with_grace_period,5,2.0,2.0,9,1.0,275.0,35.0,0.0,1,United States,-73.95854,40.7664,0,90.0
24,THE Place to See Sydney's FIREWORKS,Kristin,House,Entire home/apt,Real Bed,2,1125,moderate,2,1.0,1.0,0,2.5,250.0,150.0,0.0,1,Australia,151.17956,-33.86296,0,93.09924038225925
25,The LES Apartment,Mert,Apartment,Entire home/apt,Real Bed,3,1125,flexible,3,1.0,1.0,0,1.0,150.0,94.07480119284294,0.0,1,United States,-73.98944,40.72063,0,93.09924038225925
26,GOLF ROYAL RESİDENCE TAXİM(1+1):3,Ahmet,Serviced apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,2.0,4.0,3,1.0,838.0,94.07480119284294,0.0,1,Turkey,28.98713,41.04841,365,67.0
27,GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Ahmet,Serviced apartment,Entire home/apt,Real Bed,1,1125,moderate,6,2.0,5.0,0,2.0,997.0,94.07480119284294,0.0,1,Turkey,28.98818,41.04772,365,93.09924038225925
28,City center private room with bed,Yi,Guesthouse,Private room,Futon,1,500,strict_14_with_grace_period,1,1.0,1.0,81,1.0,181.0,50.0,100.0,1,Hong Kong,114.1669,22.3314,220,92.0
29,Apartamento zona sul do RJ,Luiz Rodrigo,Apartment,Entire home/apt,Real Bed,1,1125,flexible,5,3.0,3.0,0,1.5,933.0,94.07480119284294,0.0,1,Brazil,-43.1825954762751,-22.93054146036793,365,93.09924038225925
30,Double and triple rooms Blue mosque,Mehmet Emin,Bed and breakfast,Private room,Real Bed,1,1125,moderate,3,1.0,2.0,29,1.0,121.0,94.07480119284294,0.0,1,Turkey,28.98009,41.0062,365,92.0
31,Surry Hills Studio - Your Perfect Base in Sydney,Ben,Apartment,Entire home/apt,Real Bed,10,21,strict_14_with_grace_period,2,0.0,1.0,64,1.0,181.0,50.0,0.0,1,Australia,151.21554,-33.88029,0,95.0
32,Downtown Oporto Inn (room cleaning),Elisabete,Hostel,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,0,1.0,40.0,50.0,25.0,2,Portugal,-8.60867,41.1543,359,93.09924038225925
33,A bedroom far away from home,Lane,Apartment,Private room,Real Bed,1,10,strict_14_with_grace_period,2,1.0,1.0,239,1.0,45.0,94.07480119284294,10.0,1,United States,-73.82257,40.71485,34,95.0
34,Ipanema: moderno apê 2BR + garagem,Barbara,Apartment,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,2.0,2.0,24,2.0,298.0,180.0,50.0,2,Brazil,-43.1998455458952,-22.980051683700506,174,92.0
35,"Friendly Apartment, 10m from Manly",Isaac,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,4,1.0,36.0,94.07480119284294,20.0,2,Australia,151.26969,-33.79629,0,95.0
36,"Big, Bright & Convenient Sheung Wan",Regg,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,1,1.0,966.0,118.0,0.0,1,Hong Kong,114.15007,22.28422,0,100.0
37,Uygun nezih daire,Yaşar,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,264.0,26.0,53.0,1,Turkey,28.89964,40.99667,365,93.09924038225925
38,Your spot in Copacabana,Ana Lúcia,Apartment,Entire home/apt,Real Bed,2,15,strict_14_with_grace_period,6,2.0,5.0,8,2.0,798.0,150.0,20.0,4,Brazil,-43.17714541632985,-22.96270793328072,247,100.0
39,"Cozy Nest, heart of the Plateau",Lilou,Apartment,Private room,Real Bed,2,120,strict_14_with_grace_period,1,1.0,1.0,62,1.0,34.0,25.0,10.0,1,Canada,-73.58774,45.52028,0,98.0
40,Twin Bed room+MTR Mongkok shopping&My,Danny,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,3,1.0,2.0,22,1.0,400.0,94.07480119284294,0.0,1,Hong Kong,114.17073,22.31723,145,83.0
41,Private Room (2)  in Guest House at Coogee Beach,David,House,Private room,Real Bed,3,365,strict_14_with_grace_period,2,1.0,2.0,8,3.5,64.0,30.0,0.0,1,Australia,151.25541,-33.92398,20,100.0
42,Apto semi mobiliado,Ricardo,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,2.0,2.0,0,1.0,380.0,94.07480119284294,0.0,1,Brazil,-43.24277868091869,-22.91500935448249,365,93.09924038225925
43,"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Holly,Condominium,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,1,1.0,499.0,99.0,0.0,1,United States,-156.68012,20.96996,365,100.0
44,Quarto inteiro na Tijuca,Gilberto,Apartment,Private room,Real Bed,1,15,flexible,1,1.0,1.0,1,2.0,149.0,30.0,0.0,1,Brazil,-43.247421907135774,-22.936203246553816,178,100.0
45,Resort-like living in Williamsburg,Mohammed,Apartment,Entire home/apt,Real Bed,5,1125,strict_14_with_grace_period,4,2.0,2.0,1,1.0,220.0,25.0,0.0,1,United States,-73.93869,40.71552,0,100.0
46,Large railroad style 3 bedroom apt in Manhattan!,Vick,Apartment,Entire home/apt,Real Bed,3,6,strict_14_with_grace_period,9,3.0,4.0,22,1.0,180.0,59.0,19.0,4,United States,-73.93943,40.79805,0,95.0
47,Cozy aptartment in Recreio (near Olympic Venues),José Augusto,Apartment,Entire home/apt,Real Bed,2,30,flexible,6,3.0,3.0,0,3.0,746.0,373.0,187.0,4,Brazil,-43.45296045334386,-23.008710784460312,0,93.09924038225925
48,Roof double bed private room,Mustafa,Loft,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,0,1.0,185.0,94.07480119284294,0.0,1,Turkey,29.03693,41.12452,365,93.09924038225925
49,Great studio opp. Narrabeen Lake,Tracy,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,61,1.0,117.0,0.0,20.0,1,Australia,151.29792,-33.71472,26,97.0
50,Cozy Queen Guest Room&My,Danny,Apartment,Private room,Real Bed,1,500,strict_14_with_grace_period,2,1.0,1.0,9,1.0,330.0,94.07480119284294,0.0,1,Hong Kong,114.17034,22.31655,135,73.0
51,"Kailua-Kona, Kona Coast II 2b condo",Daniel,Apartment,Entire home/apt,Real Bed,7,7,strict_14_with_grace_period,6,2.0,3.0,1,2.0,135.0,94.07480119284294,0.0,1,United States,-155.96445,19.5702,196,100.0
52,Cozy double bed room 東涌鄉村雅緻雙人房,Ricky,Guesthouse,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,162,1.0,487.0,94.07480119284294,0.0,1,Hong Kong,113.92823,22.27671,339,96.0
53,~Ao Lele~ Flying Cloud,Mike,Treehouse,Entire home/apt,Real Bed,2,30,strict_14_with_grace_period,2,1.0,1.0,103,1.5,185.0,80.0,0.0,2,United States,-155.21763,19.42151,165,99.0
54,FloresRooms 3T,Andreia,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2,0.0,1.0,225,1.0,31.0,10.0,0.0,1,Portugal,-8.61205,41.14404,278,96.0
55,UWS Brownstone Near Central Park,Chas,Apartment,Entire home/apt,Real Bed,21,30,moderate,3,1.0,3.0,45,1.0,212.0,120.0,0.0,1,United States,-73.9696,40.78558,5,93.0
56,Makaha Valley Paradise with OceanView,Ray And Lise,Condominium,Entire home/apt,Pull-out Sofa,3,180,moderate,4,1.0,2.0,32,1.0,95.0,130.0,0.0,1,United States,-158.20291,21.4818,246,98.0
57,Alugo Apart frente mar Barra Tijuca,Paulo Cesar,Apartment,Entire home/apt,Real Bed,10,90,flexible,4,1.0,2.0,0,1.0,933.0,94.07480119284294,0.0,1,Brazil,-43.36831676949888,-23.011117008024065,363,93.09924038225925
58,IPANEMA LUXURY PENTHOUSE with MAID,Cesar,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,3,1.0,1.0,29,1.0,858.0,112.0,112.0,3,Brazil,-43.20056249420509,-22.98034625363379,345,99.0
59,"Amazing and Big Apt, Ipanema Beach.",Pedro,Apartment,Entire home/apt,Real Bed,1,1125,flexible,6,3.0,4.0,0,3.0,1999.0,94.07480119284294,0.0,1,Brazil,-43.20465630892734,-22.983108745795256,0,93.09924038225925
60,Small Room w Bathroom Flamengo Rio de Janeiro,Fernanda,Apartment,Private room,Real Bed,4,1125,moderate,1,1.0,1.0,1,1.0,71.0,20.0,0.0,1,Brazil,-43.17645081249057,-22.93848268819496,0,80.0
61,Cozy Art Top Floor Apt in PRIME Williamsburg!,Ade,Apartment,Entire home/apt,Real Bed,2,300,strict_14_with_grace_period,2,1.0,2.0,117,1.0,175.0,90.0,300.0,2,United States,-73.96053,40.71577,363,96.0
62,Apartamento Mobiliado - Lgo do Machado,Marcelo,Apartment,Entire home/apt,Real Bed,30,365,strict_14_with_grace_period,4,1.0,2.0,0,1.0,149.0,60.0,40.0,2,Brazil,-43.17888629206925,-22.93171589917869,316,93.09924038225925
63,Private OceanFront - Bathtub Beach. Spacious House,Noah,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,14,4.0,10.0,32,4.0,795.0,345.0,0.0,1,United States,-157.91952,21.63549,229,94.0
64,luxury apartment in istanbul taxsim,Osman,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,1.0,3.0,135,1.0,269.0,60.0,42.0,3,Turkey,28.98538,41.03326,317,91.0
65,,Seda,Apartment,Private room,Real Bed,1,1125,flexible,4,1.0,2.0,0,1.0,105.0,94.07480119284294,0.0,1,Turkey,29.05108,41.08835,0,93.09924038225925
66,Suíte em local tranquilo e seguro,Renato,House,Private room,Real Bed,1,1125,moderate,1,1.0,1.0,0,1.0,101.0,100.0,50.0,1,Brazil,-43.33496705036137,-22.94836549045056,357,93.09924038225925
67,Banyan Bungalow,Bobby,Bungalow,Entire home/apt,Real Bed,2,300,flexible,2,0.0,1.0,99,1.0,100.0,80.0,20.0,1,United States,-158.1602,21.57561,321,96.0
68,Best location 1BR Apt in HK - Shops & Sights,Simon,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,4,1.0,2.0,145,1.0,997.0,380.0,160.0,2,Hong Kong,114.17088,22.29663,170,94.0
69,A large sunny bedroom,Ehssan,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,2,1.0,35.0,94.07480119284294,0.0,1,United States,-73.90052,40.85598,0,90.0
70,Room For Erasmus,Kemal,Apartment,Private room,Real Bed,1,1125,flexible,2,2.0,2.0,1,1.0,37.0,94.07480119284294,0.0,1,Turkey,29.06064,40.98837,365,93.09924038225925
71,BBC OPORTO 4X2,Cristina,Apartment,Entire home/apt,Real Bed,3,1125,flexible,8,4.0,8.0,71,2.0,100.0,94.07480119284294,0.0,1,Portugal,-8.60069,41.16246,264,88.0
72,Quarto Taquara - Jacarepaguá,Luana,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,1,1.0,101.0,120.0,20.0,1,Brazil,-43.37035220190699,-22.91636184358952,365,100.0
73,Pousada das Colonias,Lidia Maria,Bed and breakfast,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,9,1.0,138.0,94.07480119284294,70.0,2,Brazil,-43.3089745798612,-23.004633399469007,347,98.0
74,(1) Beach Guest House - Go Make A Trip,Rafael,Bed and breakfast,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,11,1.0,112.0,0.0,0.0,2,Brazil,-43.35397067257831,-23.008991691724663,309,98.0
75,Beautiful flat with services,Liliane,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,2.0,2.0,32,2.0,351.0,120.0,500.0,4,Brazil,-43.20577175003696,-22.98255730525777,316,95.0
76,Bondi Beach Dreaming 3-Bed House,Cat,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,3.0,6.0,139,2.0,399.0,185.0,35.0,6,Australia,151.27448,-33.8872,0,96.0
77,Homely Room in 5-Star New Condo@MTR,Crystal,Condominium,Private room,Real Bed,28,1125,strict_14_with_grace_period,2,1.0,1.0,179,1.0,479.0,94.07480119284294,150.0,1,Hong Kong,114.17094,22.32074,3,94.0
78,"Studio convenient to CBD, beaches, street parking.",Leslie,Guest suite,Entire home/apt,Real Bed,2,3,moderate,5,1.0,4.0,104,1.0,45.0,50.0,25.0,2,Australia,151.26108,-33.7975,0,96.0
79,Aluguel Temporada Casa São Conrado,Maria Pia,House,Entire home/apt,Real Bed,5,1125,flexible,11,4.0,8.0,0,7.0,2499.0,94.07480119284294,0.0,1,Brazil,-43.27502007153333,-22.99391888061395,365,93.09924038225925
80,March 2019 availability! Oceanview on Sugar Beach!,Gage,Condominium,Entire home/apt,Real Bed,4,1125,strict_14_with_grace_period,4,1.0,3.0,19,1.0,229.0,95.0,0.0,1,United States,-156.46881,20.78621,228,94.0
81,Sala e quarto em copacabana com cozinha americana,Tamara,Apartment,Entire home/apt,Real Bed,4,1125,flexible,3,1.0,1.0,0,1.0,298.0,94.07480119284294,0.0,1,Brazil,-43.1779488969792,-22.963149303022146,0,93.09924038225925
82,The Garden Studio,Cath,Guesthouse,Entire home/apt,Real Bed,2,40,strict_14_with_grace_period,2,1.0,1.0,146,1.0,129.0,60.0,0.0,1,Australia,151.15036,-33.90318,365,97.0
83,Greenwich Fun and Luxury,Craig,House,Entire home/apt,Real Bed,5,1125,flexible,6,4.0,4.0,0,4.0,999.0,94.07480119284294,0.0,1,Australia,151.18563,-33.8289,365,93.09924038225925
84,Where Castles and Art meet the Sea,Jose,Apartment,Entire home/apt,Real Bed,5,1125,moderate,4,1.0,2.0,13,1.0,80.0,30.0,0.0,1,Portugal,-8.68887,41.17544,27,95.0
85,Tropical Jungle Oasis,Douglas,Condominium,Entire home/apt,Real Bed,2,1125,moderate,4,2.0,3.0,65,1.5,125.0,99.0,0.0,1,United States,-155.09259,19.73108,65,96.0
86,Condomínio Praia Barra da Tijuca,Paula,Condominium,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,18,2.0,351.0,94.07480119284294,0.0,1,Brazil,-43.32231287289854,-23.009702689174244,172,95.0
87,Cozy House in Ortaköy,Orcun,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,0,1.0,100.0,100.0,0.0,1,Turkey,29.02519,41.05197,365,93.09924038225925
88,Park Guell apartment with terrace,Alexandra Y Juan,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,3.0,51,1.0,85.0,40.0,0.0,6,Spain,2.15836,41.41582,174,71.0
89,Sun filled comfortable apartment,Harry,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,2,1.0,85.0,15.0,0.0,1,Australia,151.22559,-33.87604,0,100.0
90,Heroísmo IV,Apartments2Enjoy,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2,0.0,1.0,31,1.0,29.0,10.0,0.0,2,Portugal,-8.59275,41.1462,309,89.0
91,Cozy bedroom Sagrada Familia,Rapha,Apartment,Private room,Real Bed,2,1125,flexible,2,1.0,2.0,1,1.0,20.0,20.0,0.0,1,Spain,2.17963,41.40087,0,100.0
92,Cheerful new renovated central apt,Aybike,Apartment,Entire home/apt,Real Bed,3,1125,moderate,8,3.0,4.0,77,1.0,264.0,0.0,36.0,4,Turkey,28.97477,41.03735,326,94.0
93,Rented Room,Jercilene,Apartment,Private room,Real Bed,1,1125,flexible,1,1.0,1.0,0,1.0,112.0,94.07480119284294,0.0,1,Brazil,-43.17933175178738,-22.941321220162784,365,93.09924038225925
94,Luxury 1-Bdrm in Downtown Brooklyn,Ashley,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,2,1.0,1.0,1,1.0,144.0,150.0,0.0,1,United States,-73.98102,40.69406,0,93.09924038225925
95,Whole Apt. in East Williamsburg,Guillermo,Apartment,Entire home/apt,Real Bed,4,90,moderate,4,1.0,1.0,126,1.0,125.0,80.0,30.0,2,United States,-73.93981,40.70687,168,96.0
96,Jubilee By The Sea (Ocean Views),Nate,House,Entire home/apt,Real Bed,2,90,strict_14_with_grace_period,11,4.0,6.0,45,2.0,325.0,250.0,25.0,8,United States,-155.97349,19.61318,267,98.0
97,位於深水埗地鐵站的溫馨公寓,Aaron,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,4,1.0,2.0,18,1.0,353.0,50.0,50.0,1,Hong Kong,114.16262,22.32733,365,71.0
98,Serene luxury in Harlem,Erika,Apartment,Private room,Real Bed,3,1125,moderate,1,1.0,1.0,10,1.0,80.0,50.0,0.0,1,United States,-73.95211,40.80708,339,100.0
99,Apt Quarto e Sala amplo Laranjeiras,Marianna,Apartment,Entire home/apt,Real Bed,5,1125,flexible,4,1.0,4.0,0,1.0,701.0,100.0,0.0,1,Brazil,-43.17974071338275,-22.9313871086666,0,93.09924038225925
100,Panoramic Ocean View Studio in  Quiet Setting,Andrei,Guesthouse,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,114,1.0,120.0,100.0,15.0,1,United States,-157.78578,21.29561,323,95.0
101,Cozy apartment 3 mins TAIWAI Subway,Naomi,Apartment,Entire home/apt,Real Bed,7,365,flexible,5,2.0,2.0,0,2.0,801.0,94.07480119284294,0.0,1,Hong Kong,114.12074,22.40547,0,93.09924038225925
102,Spacious and well located apartment,Andre,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,6,2.0,3.0,20,1.0,60.0,25.0,8.0,3,Portugal,-8.6114,41.16093,314,89.0
103,Grand apartment Sagrada Familia,Alexandra Y Juan,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,8,4.0,6.0,77,2.0,169.0,60.0,0.0,10,Spain,2.18146,41.39716,211,90.0
104,Charming Spacious Park Slope Studio,Ildiko,Guest suite,Entire home/apt,Real Bed,3,1125,moderate,3,0.0,0.0,115,1.0,135.0,50.0,25.0,2,United States,-73.98307,40.6651,204,98.0
105,Nice Cosy Room In Taksim,Nihat,Apartment,Private room,Real Bed,3,1125,strict_14_with_grace_period,2,1.0,1.0,31,1.0,105.0,60.0,60.0,1,Turkey,28.98648,41.03376,336,96.0
106,Jardim Botânico Gourmet 2 bdroom,Roberta (Beta) Gatti,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,2.0,5.0,9,2.0,395.0,300.0,35.0,4,Brazil,-43.22076222600562,-22.96448811710617,342,91.0
107,Ribeira Smart Flat,Mathieu,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,6,3.0,3.0,132,1.0,80.0,20.0,10.0,2,Portugal,-8.61602,41.14295,214,92.0
108,GREAT Apartment at Barra da Tijuca,Luiz Henrique,Apartment,Entire home/apt,Real Bed,4,100,moderate,6,3.0,7.0,13,4.0,933.0,298.0,19.0,4,Brazil,-43.32984175609327,-23.011124595436097,0,100.0
109,Lovely ap at Leblon beach,Sonia,Apartment,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,5,3.0,3.0,1,3.0,298.0,160.0,0.0,1,Brazil,-43.22120070184858,-22.98416287210616,0,100.0
110,"Charming Apartment,perfect Location",Fabio,Apartment,Entire home/apt,Real Bed,2,89,super_strict_30,4,1.0,2.0,110,1.0,351.0,140.0,60.0,2,Brazil,-43.17596611897592,-22.964922391816017,317,95.0
111,Colonial Mansion in Santa Teresa,John,House,Entire home/apt,Real Bed,1,1125,flexible,8,6.0,6.0,0,5.0,1999.0,94.07480119284294,0.0,1,Brazil,-43.17823402580154,-22.917475613135107,358,93.09924038225925
112,Beautiful 1 Bedroom Apartment,Mai-Britt,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,10,1.0,997.0,500.0,0.0,1,Hong Kong,114.15241,22.28351,0,95.0
113,Great location in Barcelona,Marina E Mickael,Apartment,Entire home/apt,Real Bed,200,1125,strict_14_with_grace_period,5,4.0,4.0,2,1.0,31.0,7.0,0.0,2,Spain,2.19057,41.41254,358,60.0
114,Relaxing and Roomy in Crown Heights,Rachael,Apartment,Private room,Real Bed,2,45,moderate,2,1.0,1.0,46,1.0,50.0,50.0,10.0,1,United States,-73.95667,40.67414,64,96.0
115,Nani La 'Ao (A Beautiful Day) Upstairs Suite,Sherri,House,Entire home/apt,Real Bed,3,25,moderate,2,1.0,1.0,18,1.0,72.0,12.0,10.0,2,United States,-155.02503,19.56081,352,96.0
116,"Kadiköy, Moda, close to transports",Bertille,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,1.0,137.0,94.07480119284294,0.0,1,Turkey,29.02588,40.98825,0,93.09924038225925
117,"Cozy, dreamy Mile End apartment",Uma,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,30.0,20.0,15.0,1,Canada,-73.60137,45.52517,0,93.09924038225925
118,CASA PARA AS OLIMPIADAS 2016,Priscila,House,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,10,4.0,6.0,0,6.0,3726.0,94.07480119284294,0.0,1,Brazil,-43.43656065280531,-23.01216083013239,0,93.09924038225925
119,PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Tim,Apartment,Entire home/apt,Real Bed,2,28,strict_14_with_grace_period,4,0.0,2.0,62,1.0,55.0,25.0,7.0,2,Portugal,-8.61279,41.14106,243,97.0
120,"Asia House, Garden Room, Princevile",Coral,Guest suite,Private room,Real Bed,3,21,strict_14_with_grace_period,2,1.0,1.0,167,1.0,139.0,85.0,35.0,2,United States,-159.48653,22.22739,276,93.0
121,Bright Inner West Terrace Value+,Natasa,House,Private room,Real Bed,1,1125,moderate,2,1.0,1.0,84,1.5,65.0,25.0,15.0,1,Australia,151.15851,-33.89931,232,96.0
122,BALAT,Hanife,House,Private room,Real Bed,1,1125,flexible,3,1.0,1.0,0,1.0,685.0,94.07480119284294,0.0,1,Turkey,28.94457,41.03301,365,93.09924038225925
123,Triple room Barcelona Guell park,Núria,Condominium,Private room,Real Bed,2,1125,strict_14_with_grace_period,3,1.0,3.0,191,1.0,40.0,15.0,8.0,4,Spain,2.15533,41.40686,289,82.0
124,Designer's Historical Apartment,Pia,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,17,1.0,385.0,298.0,0.0,2,Turkey,28.97994,41.03406,365,97.0
125,Renovated Classic Design Studio with Sun Room,Maribel Monzo,Apartment,Entire home/apt,Real Bed,3,40,strict_14_with_grace_period,3,1.0,1.0,32,1.0,58.0,40.0,20.0,2,Portugal,-8.60106,41.14684,359,94.0
